MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,WIN,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,H_BET,X_BET,A_BET,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2023-2024_Man United_Wolves,2023-2024,1,8/14/2023,20:00,Man United,Wolves,1,0,H,0,0,D,S Hooper,15,23,3,6,8,7,14,10,2,3,0,0,1.33,5.5,9.0,1.62,2.3,1.34,6.0,11.0,1.31,5.65,9.85,1.64,2.47,1.6,2.38,3,0
2023-2024_Nott'm Forest_Sheffield United,2023-2024,2,8/18/2023,19:45,Nott'm Forest,Sheffield United,2,1,H,1,0,H,P Bankes,16,7,4,3,6,7,5,9,2,3,0,0,1.95,3.4,4.0,2.2,1.67,2.0,3.6,4.5,1.95,3.43,4.25,2.33,1.73,2.24,1.67,3,0
2023-2024_Fulham_Brentford,2023-2024,2,8/19/2023,15:00,Fulham,Brentford,0,3,A,0,1,A,D Bond,10,17,2,8,5,5,13,12,2,2,1,0,2.7,3.3,2.63,1.96,1.94,2.8,3.58,2.73,2.72,3.4,2.63,02.01,1.97,1.93,1.9,0,3
2023-2024_Liverpool_Bournemouth,2023-2024,2,8/19/2023,15:00,Liverpool,Bournemouth,3,1,H,2,1,H,T Bramall,26,13,10,5,10,2,11,13,1,3,1,0,1.2,7.0,13.0,1.33,3.4,1.26,7.5,13.0,1.23,6.86,11.82,1.37,3.4,1.35,3.21,3,0
2023-2024_Wolves_Brighton,2023-2024,2,8/19/2023,15:00,Wolves,Brighton,1,4,A,0,1,A,A Madley,16,16,5,8,5,3,14,11,3,6,1,0,4.0,3.8,1.85,1.73,2.1,4.25,4.0,1.97,4.0,3.81,1.89,1.8,2.18,1.74,2.12,0,3
2023-2024_Tottenham_Man United,2023-2024,2,8/19/2023,17:30,Tottenham,Man United,2,0,H,0,0,D,M Oliver,17,22,6,6,5,6,9,8,1,3,0,0,2.8,3.6,2.38,1.57,2.38,2.95,3.96,2.46,2.84,3.75,2.37,1.64,2.55,1.57,2.44,3,0
2023-2024_Man City_Newcastle,2023-2024,2,8/19/2023,20:00,Man City,Newcastle,1,0,H,1,0,H,R Jones,14,7,4,1,3,0,12,11,1,5,0,0,1.67,4.0,5.0,1.73,2.1,1.75,4.3,5.2,1.7,04.07,4.83,1.76,2.26,1.72,2.15,3,0
2023-2024_Aston Villa_Everton,2023-2024,2,8/20/2023,14:00,Aston Villa,Everton,4,0,H,2,0,H,A Taylor,13,9,7,2,7,6,8,12,3,4,0,0,1.7,4.0,4.5,1.92,1.98,1.76,4.1,5.4,1.7,3.91,5.0,1.96,02.02,1.89,1.94,3,0
2023-2024_West Ham_Chelsea,2023-2024,2,8/20/2023,16:30,West Ham,Chelsea,3,1,H,1,1,D,J Brooks,12,17,6,4,3,9,12,9,2,3,1,0,3.75,3.5,2.0,1.96,1.94,3.86,3.75,2.12,3.66,3.57,02.04,1.98,2.0,1.92,1.91,3,0
2023-2024_Crystal Palace_Arsenal,2023-2024,2,8/21/2023,20:00,Crystal Palace,Arsenal,0,1,A,0,0,D,D Coote,14,14,2,3,1,8,14,10,2,1,0,1,5.5,4.0,1.6,1.94,1.96,6.0,4.33,1.68,5.79,04.06,1.6,2.0,1.97,1.92,1.9,0,3
2023-2024_Chelsea_Luton,2023-2024,3,8/25/2023,20:00,Chelsea,Luton,3,0,H,1,0,H,R Jones,19,11,8,1,6,4,15,12,2,3,0,0,1.29,5.5,11.0,1.67,2.2,1.33,6.5,13.0,1.29,5.86,10.78,1.71,2.42,1.66,2.27,3,0
2023-2024_Bournemouth_Tottenham,2023-2024,3,8/26/2023,12:30,Bournemouth,Tottenham,0,2,A,0,1,A,T Robinson,11,17,3,6,6,2,18,11,1,3,0,0,3.8,3.75,1.91,1.53,2.5,3.95,4.1,02.05,3.67,3.94,1.95,1.59,2.6,1.55,2.47,0,3
2023-2024_Arsenal_Fulham,2023-2024,3,8/26/2023,15:00,Arsenal,Fulham,2,2,D,0,1,A,P Tierney,19,8,11,3,8,3,6,5,0,3,0,1,1.2,7.0,13.0,1.44,2.75,1.27,7.27,15.25,1.23,6.49,13.35,1.53,2.8,1.48,2.67,1,1
2023-2024_Brentford_Crystal Palace,2023-2024,3,8/26/2023,15:00,Brentford,Crystal Palace,1,1,D,1,0,H,P Bankes,12,15,1,5,8,6,9,15,0,0,0,0,2.15,3.4,3.5,2.1,1.73,2.2,3.54,3.75,2.14,3.41,3.57,2.21,1.78,2.13,1.74,1,1
2023-2024_Everton_Wolves,2023-2024,3,8/26/2023,15:00,Everton,Wolves,0,1,A,0,0,D,C Pawson,15,11,7,2,7,0,10,14,3,4,0,0,2.3,3.3,3.2,2.1,1.73,2.42,3.48,3.4,2.32,3.31,3.24,2.2,1.8,2.12,1.74,0,3
2023-2024_Man United_Nott'm Forest,2023-2024,3,8/26/2023,15:00,Man United,Nott'm Forest,3,2,H,1,2,A,S Attwell,18,9,9,4,11,3,13,11,4,4,0,1,1.3,6.0,8.0,1.5,2.63,1.34,6.2,10.0,1.31,5.79,9.23,1.55,2.63,1.52,2.56,3,0
2023-2024_Brighton_West Ham,2023-2024,3,8/26/2023,17:30,Brighton,West Ham,1,3,A,0,1,A,A Taylor,25,12,10,3,17,4,10,9,1,3,0,0,1.53,4.75,5.25,1.5,2.63,1.58,4.9,6.0,1.53,4.67,5.73,1.52,2.73,1.49,2.63,0,3
2023-2024_Burnley_Aston Villa,2023-2024,3,8/27/2023,14:00,Burnley,Aston Villa,1,3,A,0,2,A,M Salisbury,9,16,2,6,4,6,12,11,2,0,0,0,3.4,3.4,2.15,1.86,02.04,3.46,3.7,2.22,3.36,3.55,2.16,1.92,02.06,1.85,1.99,0,3
2023-2024_Sheffield United_Man City,2023-2024,3,8/27/2023,14:00,Sheffield United,Man City,1,2,A,0,0,D,J Gillett,6,30,2,9,1,12,11,2,3,0,0,0,13.0,8.0,1.17,1.57,2.38,19.5,8.6,1.21,16.67,7.51,1.18,1.62,2.5,1.57,2.41,0,3
2023-2024_Newcastle_Liverpool,2023-2024,3,8/27/2023,16:30,Newcastle,Liverpool,1,2,A,1,0,H,J Brooks,23,9,8,4,5,9,16,10,1,2,0,1,2.2,3.75,3.0,1.5,2.63,2.3,4.1,3.18,2.2,3.9,03.03,1.53,2.8,1.49,2.64,0,3
2023-2024_Luton_West Ham,2023-2024,4,9/1/2023,20:00,Luton,West Ham,1,2,A,0,1,A,P Tierney,16,9,1,3,9,6,8,13,1,1,0,0,4.75,3.8,1.73,1.87,02.03,5.0,4.2,1.78,4.7,3.94,1.74,1.87,2.1,1.82,02.03,0,3
2023-2024_Sheffield United_Everton,2023-2024,4,9/2/2023,12:30,Sheffield United,Everton,2,2,D,2,1,H,A Madley,13,16,8,6,4,6,11,13,1,2,0,0,2.9,3.25,2.5,2.2,1.67,3.15,3.36,2.59,03.01,3.23,2.5,2.36,1.72,2.26,1.66,1,1
